"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"466","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"468","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"470","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"475","0.125","0.125","0.125"
"476","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"478","0.125","0.125","0.125"
"479","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"481","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"482","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"484","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"485","0.25","0.25","0.25"
"486","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"488","0.375","0.375","0.375"
"489","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"494","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"499","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"501","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"502","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"507","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"511","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"512","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"513","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"515","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"517","0.125","0.125","0.125"
"519","0.125","0.125","0.125"
"521","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"523","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"525","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"526","0.25","0.25","0.25"
"527","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"528","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"529","0.125","0.125","0.125"
"533","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"534","0.25","0.25","0.25"
"535","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"540","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"542","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"543","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"544","0.125","0.125","0.125"
"545","0.25","0.25","0.25"
"546","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"548","0.125","0.125","0.125"
"549","0.25","0.25","0.25"
"551","0.125","0.125","0.125"
"552","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"553","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"555","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"556","0.125","0.125","0.125"
"558","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"563","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"569","0.375","0.375","0.375"
"570","0.25","0.25","0.25"
"572","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"576","0.25","0.25","0.25"
"579","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"582","0.125","0.125","0.125"
"583","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"584","0.1666666716337204","0.1666666716337204","0.1666666716337204"
