"Step","Attempt23 - Episode_Reward/payload_2_target","Attempt23 - Episode_Reward/payload_2_target__MIN","Attempt23 - Episode_Reward/payload_2_target__MAX"
"566","6.33594274520874","6.33594274520874","6.33594274520874"
"567","6.457108974456787","6.457108974456787","6.457108974456787"
"569","6.4093451499938965","6.4093451499938965","6.4093451499938965"
"570","6.4098920822143555","6.4098920822143555","6.4098920822143555"
"573","6.009828567504883","6.009828567504883","6.009828567504883"
"579","5.903052806854248","5.903052806854248","5.903052806854248"
"582","6.19721794128418","6.19721794128418","6.19721794128418"
"584","6.468539237976074","6.468539237976074","6.468539237976074"
"585","6.528143882751465","6.528143882751465","6.528143882751465"
"586","6.573741912841797","6.573741912841797","6.573741912841797"
"587","6.651849746704102","6.651849746704102","6.651849746704102"
"588","6.672358512878418","6.672358512878418","6.672358512878418"
"589","6.328788757324219","6.328788757324219","6.328788757324219"
"591","6.3575568199157715","6.3575568199157715","6.3575568199157715"
"592","6.879106521606445","6.879106521606445","6.879106521606445"
"595","6.62061071395874","6.62061071395874","6.62061071395874"
"596","6.9952521324157715","6.9952521324157715","6.9952521324157715"
"597","6.20351505279541","6.20351505279541","6.20351505279541"
"601","6.4248809814453125","6.4248809814453125","6.4248809814453125"
"602","6.762582778930664","6.762582778930664","6.762582778930664"
"603","6.712888240814209","6.712888240814209","6.712888240814209"
"604","6.862403392791748","6.862403392791748","6.862403392791748"
"606","6.706658363342285","6.706658363342285","6.706658363342285"
"607","6.647124767303467","6.647124767303467","6.647124767303467"
"611","6.573409080505371","6.573409080505371","6.573409080505371"
"613","6.931931495666504","6.931931495666504","6.931931495666504"
"617","7.2018890380859375","7.2018890380859375","7.2018890380859375"
"620","6.835113525390625","6.835113525390625","6.835113525390625"
"621","6.834329605102539","6.834329605102539","6.834329605102539"
"622","6.734455108642578","6.734455108642578","6.734455108642578"
"623","6.68610143661499","6.68610143661499","6.68610143661499"
"626","7.028848171234131","7.028848171234131","7.028848171234131"
"631","6.947139263153076","6.947139263153076","6.947139263153076"
"633","6.818808555603027","6.818808555603027","6.818808555603027"
"636","6.982858180999756","6.982858180999756","6.982858180999756"
"638","6.796942710876465","6.796942710876465","6.796942710876465"
"639","7.229501247406006","7.229501247406006","7.229501247406006"
"645","6.978339195251465","6.978339195251465","6.978339195251465"
"647","6.890064239501953","6.890064239501953","6.890064239501953"
"648","6.847087860107422","6.847087860107422","6.847087860107422"
"649","6.986032009124756","6.986032009124756","6.986032009124756"
"651","7.150752544403076","7.150752544403076","7.150752544403076"
"656","7.169459819793701","7.169459819793701","7.169459819793701"
"658","6.7714338302612305","6.7714338302612305","6.7714338302612305"
"661","7.178373336791992","7.178373336791992","7.178373336791992"
"664","7.099229335784912","7.099229335784912","7.099229335784912"
"665","7.051839828491211","7.051839828491211","7.051839828491211"
"667","6.95283317565918","6.95283317565918","6.95283317565918"
"669","7.4044928550720215","7.4044928550720215","7.4044928550720215"
"671","6.619460582733154","6.619460582733154","6.619460582733154"
"672","6.995043754577637","6.995043754577637","6.995043754577637"
"673","7.203137397766113","7.203137397766113","7.203137397766113"
"675","6.7778472900390625","6.7778472900390625","6.7778472900390625"
"677","6.792827129364014","6.792827129364014","6.792827129364014"
