"Step","exponentialNoMovement - Episode_Reward/oriRew","exponentialNoMovement - Episode_Reward/oriRew__MIN","exponentialNoMovement - Episode_Reward/oriRew__MAX"
"403","5.253830909729004","5.253830909729004","5.253830909729004"
"404","5.032671928405762","5.032671928405762","5.032671928405762"
"405","5.342306137084961","5.342306137084961","5.342306137084961"
"406","5.1348876953125","5.1348876953125","5.1348876953125"
"407","5.1774516105651855","5.1774516105651855","5.1774516105651855"
"408","5.090823173522949","5.090823173522949","5.090823173522949"
"409","4.771938323974609","4.771938323974609","4.771938323974609"
"410","4.45953893661499","4.45953893661499","4.45953893661499"
"411","5.292246341705322","5.292246341705322","5.292246341705322"
"412","5.144874572753906","5.144874572753906","5.144874572753906"
"413","4.778982162475586","4.778982162475586","4.778982162475586"
"414","5.259912014007568","5.259912014007568","5.259912014007568"
"415","5.111251354217529","5.111251354217529","5.111251354217529"
"416","4.7837934494018555","4.7837934494018555","4.7837934494018555"
"417","5.129219055175781","5.129219055175781","5.129219055175781"
"418","5.096795082092285","5.096795082092285","5.096795082092285"
"419","4.995834827423096","4.995834827423096","4.995834827423096"
"420","5.266765594482422","5.266765594482422","5.266765594482422"
"421","4.927539825439453","4.927539825439453","4.927539825439453"
"422","5.0545501708984375","5.0545501708984375","5.0545501708984375"
"423","5.032720565795898","5.032720565795898","5.032720565795898"
"424","5.485495567321777","5.485495567321777","5.485495567321777"
"425","5.2450079917907715","5.2450079917907715","5.2450079917907715"
"426","5.069502830505371","5.069502830505371","5.069502830505371"
"427","4.900073528289795","4.900073528289795","4.900073528289795"
"428","5.352725982666016","5.352725982666016","5.352725982666016"
"429","5.20663595199585","5.20663595199585","5.20663595199585"
"430","5.618885040283203","5.618885040283203","5.618885040283203"
"431","5.364326477050781","5.364326477050781","5.364326477050781"
"432","5.177328109741211","5.177328109741211","5.177328109741211"
"433","5.270783424377441","5.270783424377441","5.270783424377441"
"434","5.187990188598633","5.187990188598633","5.187990188598633"
"435","5.29339075088501","5.29339075088501","5.29339075088501"
"436","5.043111801147461","5.043111801147461","5.043111801147461"
"437","5.341090679168701","5.341090679168701","5.341090679168701"
"438","5.19907283782959","5.19907283782959","5.19907283782959"
"439","5.436799049377441","5.436799049377441","5.436799049377441"
"440","5.223912239074707","5.223912239074707","5.223912239074707"
"441","5.00307559967041","5.00307559967041","5.00307559967041"
"442","5.464120864868164","5.464120864868164","5.464120864868164"
"443","5.170827388763428","5.170827388763428","5.170827388763428"
"444","5.063490867614746","5.063490867614746","5.063490867614746"
"445","5.0490617752075195","5.0490617752075195","5.0490617752075195"
"446","4.934109687805176","4.934109687805176","4.934109687805176"
"447","4.957574367523193","4.957574367523193","4.957574367523193"
"448","5.100354194641113","5.100354194641113","5.100354194641113"
"449","4.833425045013428","4.833425045013428","4.833425045013428"
"450","5.250723361968994","5.250723361968994","5.250723361968994"
"451","4.651271820068359","4.651271820068359","4.651271820068359"
"452","4.758679389953613","4.758679389953613","4.758679389953613"
"453","5.281968593597412","5.281968593597412","5.281968593597412"
"454","5.481357574462891","5.481357574462891","5.481357574462891"
"455","5.131439685821533","5.131439685821533","5.131439685821533"
"456","5.145150661468506","5.145150661468506","5.145150661468506"
"457","5.450101852416992","5.450101852416992","5.450101852416992"
"458","5.383122444152832","5.383122444152832","5.383122444152832"
"459","4.929653167724609","4.929653167724609","4.929653167724609"
"460","5.375247955322266","5.375247955322266","5.375247955322266"
"461","4.741116046905518","4.741116046905518","4.741116046905518"
"462","5.398619651794434","5.398619651794434","5.398619651794434"
"463","5.330837726593018","5.330837726593018","5.330837726593018"
"464","5.130475044250488","5.130475044250488","5.130475044250488"
"465","5.7133612632751465","5.7133612632751465","5.7133612632751465"
"466","5.544398784637451","5.544398784637451","5.544398784637451"
"467","5.268746852874756","5.268746852874756","5.268746852874756"
