"Step","exponentialNoMovement - Metrics/targetPosition/error_heading","exponentialNoMovement - Metrics/targetPosition/error_heading__MIN","exponentialNoMovement - Metrics/targetPosition/error_heading__MAX"
"191","1.7704094648361206","1.7704094648361206","1.7704094648361206"
"192","1.4175832271575928","1.4175832271575928","1.4175832271575928"
"193","1.470352053642273","1.470352053642273","1.470352053642273"
"194","1.5873130559921265","1.5873130559921265","1.5873130559921265"
"195","1.4611310958862305","1.4611310958862305","1.4611310958862305"
"196","1.2093207836151123","1.2093207836151123","1.2093207836151123"
"197","1.6862043142318726","1.6862043142318726","1.6862043142318726"
"198","1.5033676624298096","1.5033676624298096","1.5033676624298096"
"199","1.540572166442871","1.540572166442871","1.540572166442871"
"200","1.321916103363037","1.321916103363037","1.321916103363037"
"201","1.455413818359375","1.455413818359375","1.455413818359375"
"202","1.2737791538238525","1.2737791538238525","1.2737791538238525"
"203","1.474977970123291","1.474977970123291","1.474977970123291"
"204","1.4752572774887085","1.4752572774887085","1.4752572774887085"
"205","1.6826175451278687","1.6826175451278687","1.6826175451278687"
"206","1.607071876525879","1.607071876525879","1.607071876525879"
"207","1.6067986488342285","1.6067986488342285","1.6067986488342285"
"208","1.5701930522918701","1.5701930522918701","1.5701930522918701"
"209","1.5805305242538452","1.5805305242538452","1.5805305242538452"
"210","1.4283332824707031","1.4283332824707031","1.4283332824707031"
"211","1.4768638610839844","1.4768638610839844","1.4768638610839844"
"212","1.5256398916244507","1.5256398916244507","1.5256398916244507"
"213","1.5456050634384155","1.5456050634384155","1.5456050634384155"
"214","1.265958309173584","1.265958309173584","1.265958309173584"
"215","1.3634371757507324","1.3634371757507324","1.3634371757507324"
"216","1.4676408767700195","1.4676408767700195","1.4676408767700195"
"217","1.5933916568756104","1.5933916568756104","1.5933916568756104"
"218","1.4828166961669922","1.4828166961669922","1.4828166961669922"
"219","1.7073113918304443","1.7073113918304443","1.7073113918304443"
"220","1.584721565246582","1.584721565246582","1.584721565246582"
"221","1.487332820892334","1.487332820892334","1.487332820892334"
"222","1.675077199935913","1.675077199935913","1.675077199935913"
"223","1.4317935705184937","1.4317935705184937","1.4317935705184937"
"224","1.4465539455413818","1.4465539455413818","1.4465539455413818"
"225","1.4971885681152344","1.4971885681152344","1.4971885681152344"
"226","1.623009204864502","1.623009204864502","1.623009204864502"
"227","1.422298789024353","1.422298789024353","1.422298789024353"
"228","1.4206302165985107","1.4206302165985107","1.4206302165985107"
"229","1.7027556896209717","1.7027556896209717","1.7027556896209717"
"230","1.3430817127227783","1.3430817127227783","1.3430817127227783"
"231","1.51211678981781","1.51211678981781","1.51211678981781"
"232","1.6346778869628906","1.6346778869628906","1.6346778869628906"
"233","1.5965986251831055","1.5965986251831055","1.5965986251831055"
"234","1.4279578924179077","1.4279578924179077","1.4279578924179077"
"235","1.5573714971542358","1.5573714971542358","1.5573714971542358"
"236","1.4954948425292969","1.4954948425292969","1.4954948425292969"
"237","1.4191030263900757","1.4191030263900757","1.4191030263900757"
"238","1.2222487926483154","1.2222487926483154","1.2222487926483154"
"239","1.5520342588424683","1.5520342588424683","1.5520342588424683"
"240","1.4741981029510498","1.4741981029510498","1.4741981029510498"
"241","1.4041812419891357","1.4041812419891357","1.4041812419891357"
"242","1.4000334739685059","1.4000334739685059","1.4000334739685059"
"243","1.4496934413909912","1.4496934413909912","1.4496934413909912"
"244","1.503962755203247","1.503962755203247","1.503962755203247"
"245","1.4303816556930542","1.4303816556930542","1.4303816556930542"
"246","1.46579909324646","1.46579909324646","1.46579909324646"
"247","1.2502306699752808","1.2502306699752808","1.2502306699752808"
"248","1.377120018005371","1.377120018005371","1.377120018005371"
"249","1.522891879081726","1.522891879081726","1.522891879081726"
"250","1.4563672542572021","1.4563672542572021","1.4563672542572021"
"251","1.4365848302841187","1.4365848302841187","1.4365848302841187"
"252","1.5548971891403198","1.5548971891403198","1.5548971891403198"
"253","1.527179479598999","1.527179479598999","1.527179479598999"
"254","1.4390857219696045","1.4390857219696045","1.4390857219696045"
"255","1.5889956951141357","1.5889956951141357","1.5889956951141357"
"256","1.3948731422424316","1.3948731422424316","1.3948731422424316"
"257","1.3865680694580078","1.3865680694580078","1.3865680694580078"
"258","1.3987139463424683","1.3987139463424683","1.3987139463424683"
"259","1.5271379947662354","1.5271379947662354","1.5271379947662354"
"260","1.4292218685150146","1.4292218685150146","1.4292218685150146"
"261","1.6062597036361694","1.6062597036361694","1.6062597036361694"
"262","1.292842149734497","1.292842149734497","1.292842149734497"
"263","1.4314401149749756","1.4314401149749756","1.4314401149749756"
"264","1.4359381198883057","1.4359381198883057","1.4359381198883057"
"265","1.3933734893798828","1.3933734893798828","1.3933734893798828"
"266","1.4334430694580078","1.4334430694580078","1.4334430694580078"
"267","1.213510513305664","1.213510513305664","1.213510513305664"
"268","1.4151313304901123","1.4151313304901123","1.4151313304901123"
"269","1.2208952903747559","1.2208952903747559","1.2208952903747559"
"270","1.3952128887176514","1.3952128887176514","1.3952128887176514"
"271","1.4569175243377686","1.4569175243377686","1.4569175243377686"
"272","1.3847650289535522","1.3847650289535522","1.3847650289535522"
"273","1.3925708532333374","1.3925708532333374","1.3925708532333374"
"274","1.5627529621124268","1.5627529621124268","1.5627529621124268"
"275","1.4688823223114014","1.4688823223114014","1.4688823223114014"
"276","1.3617360591888428","1.3617360591888428","1.3617360591888428"
"277","1.3205132484436035","1.3205132484436035","1.3205132484436035"
"278","1.3505347967147827","1.3505347967147827","1.3505347967147827"
"279","1.3924193382263184","1.3924193382263184","1.3924193382263184"
"280","1.346320629119873","1.346320629119873","1.346320629119873"
"281","1.3589576482772827","1.3589576482772827","1.3589576482772827"
"282","1.2404768466949463","1.2404768466949463","1.2404768466949463"
"283","1.207956075668335","1.207956075668335","1.207956075668335"
"284","1.3140815496444702","1.3140815496444702","1.3140815496444702"
"285","1.2027113437652588","1.2027113437652588","1.2027113437652588"
"286","1.4596879482269287","1.4596879482269287","1.4596879482269287"
"287","1.3833569288253784","1.3833569288253784","1.3833569288253784"
"288","1.3871034383773804","1.3871034383773804","1.3871034383773804"
"289","1.4818233251571655","1.4818233251571655","1.4818233251571655"
"290","1.4594019651412964","1.4594019651412964","1.4594019651412964"
"291","1.3700246810913086","1.3700246810913086","1.3700246810913086"
"292","1.381855845451355","1.381855845451355","1.381855845451355"
"293","1.4925315380096436","1.4925315380096436","1.4925315380096436"
"294","1.367510199546814","1.367510199546814","1.367510199546814"
