"Step","0.4Blind - Episode_Reward/payload_2_target","0.4Blind - Episode_Reward/payload_2_target__MIN","0.4Blind - Episode_Reward/payload_2_target__MAX"
"301","-0.48543819785118103","-0.48543819785118103","-0.48543819785118103"
"302","-0.42256540060043335","-0.42256540060043335","-0.42256540060043335"
"303","-0.5000306367874146","-0.5000306367874146","-0.5000306367874146"
"304","-0.45426738262176514","-0.45426738262176514","-0.45426738262176514"
"305","-0.46280908584594727","-0.46280908584594727","-0.46280908584594727"
"306","-0.5338672399520874","-0.5338672399520874","-0.5338672399520874"
"307","-0.5331751108169556","-0.5331751108169556","-0.5331751108169556"
"308","-0.35370445251464844","-0.35370445251464844","-0.35370445251464844"
"309","-0.49659571051597595","-0.49659571051597595","-0.49659571051597595"
"310","-0.5847896337509155","-0.5847896337509155","-0.5847896337509155"
"311","-0.41809219121932983","-0.41809219121932983","-0.41809219121932983"
"312","-0.4843103289604187","-0.4843103289604187","-0.4843103289604187"
"313","-0.3860113024711609","-0.3860113024711609","-0.3860113024711609"
"314","-0.4059012532234192","-0.4059012532234192","-0.4059012532234192"
"315","-0.4047260880470276","-0.4047260880470276","-0.4047260880470276"
"316","-0.4367932975292206","-0.4367932975292206","-0.4367932975292206"
"317","-0.4015201926231384","-0.4015201926231384","-0.4015201926231384"
"318","-0.5324034690856934","-0.5324034690856934","-0.5324034690856934"
"319","-0.4762098491191864","-0.4762098491191864","-0.4762098491191864"
"320","-0.5884214639663696","-0.5884214639663696","-0.5884214639663696"
"321","-0.3205905556678772","-0.3205905556678772","-0.3205905556678772"
"322","-0.49173128604888916","-0.49173128604888916","-0.49173128604888916"
"323","-0.45940864086151123","-0.45940864086151123","-0.45940864086151123"
"324","-0.32382732629776","-0.32382732629776","-0.32382732629776"
"325","-0.35044193267822266","-0.35044193267822266","-0.35044193267822266"
"326","-0.3517623841762543","-0.3517623841762543","-0.3517623841762543"
"327","-0.4891166090965271","-0.4891166090965271","-0.4891166090965271"
"328","-0.4465000033378601","-0.4465000033378601","-0.4465000033378601"
"329","-0.2989807724952698","-0.2989807724952698","-0.2989807724952698"
"330","-0.41385507583618164","-0.41385507583618164","-0.41385507583618164"
"331","-0.4688422679901123","-0.4688422679901123","-0.4688422679901123"
"332","-0.48147058486938477","-0.48147058486938477","-0.48147058486938477"
"333","-0.4734059274196625","-0.4734059274196625","-0.4734059274196625"
"334","-0.386963427066803","-0.386963427066803","-0.386963427066803"
"335","-0.3847857415676117","-0.3847857415676117","-0.3847857415676117"
"336","-0.42168354988098145","-0.42168354988098145","-0.42168354988098145"
"337","-0.40566229820251465","-0.40566229820251465","-0.40566229820251465"
"338","-0.4834710955619812","-0.4834710955619812","-0.4834710955619812"
"339","-0.5548215508460999","-0.5548215508460999","-0.5548215508460999"
"340","-0.4526708722114563","-0.4526708722114563","-0.4526708722114563"
"341","-0.4789915084838867","-0.4789915084838867","-0.4789915084838867"
"342","-0.43421000242233276","-0.43421000242233276","-0.43421000242233276"
"343","-0.40455183386802673","-0.40455183386802673","-0.40455183386802673"
"344","-0.4120532274246216","-0.4120532274246216","-0.4120532274246216"
"345","-0.40472492575645447","-0.40472492575645447","-0.40472492575645447"
"346","-0.422829270362854","-0.422829270362854","-0.422829270362854"
"347","-0.38974207639694214","-0.38974207639694214","-0.38974207639694214"
"348","-0.4178555905818939","-0.4178555905818939","-0.4178555905818939"
"349","-0.4328117370605469","-0.4328117370605469","-0.4328117370605469"
"350","-0.4116189181804657","-0.4116189181804657","-0.4116189181804657"
"351","-0.422290563583374","-0.422290563583374","-0.422290563583374"
"352","-0.4273441731929779","-0.4273441731929779","-0.4273441731929779"
"353","-0.2686971127986908","-0.2686971127986908","-0.2686971127986908"
"354","-0.3542715907096863","-0.3542715907096863","-0.3542715907096863"
"355","-0.41964539885520935","-0.41964539885520935","-0.41964539885520935"
"356","-0.37472981214523315","-0.37472981214523315","-0.37472981214523315"
"357","-0.5187410116195679","-0.5187410116195679","-0.5187410116195679"
"358","-0.5043764710426331","-0.5043764710426331","-0.5043764710426331"
"359","-0.4235708713531494","-0.4235708713531494","-0.4235708713531494"
"360","-0.4068281650543213","-0.4068281650543213","-0.4068281650543213"
"361","-0.43484386801719666","-0.43484386801719666","-0.43484386801719666"
"362","-0.3692026734352112","-0.3692026734352112","-0.3692026734352112"
"363","-0.5201756954193115","-0.5201756954193115","-0.5201756954193115"
"364","-0.3598071038722992","-0.3598071038722992","-0.3598071038722992"
"365","-0.4232146143913269","-0.4232146143913269","-0.4232146143913269"
"366","-0.47090381383895874","-0.47090381383895874","-0.47090381383895874"
"367","-0.3862696886062622","-0.3862696886062622","-0.3862696886062622"
"368","-0.40816959738731384","-0.40816959738731384","-0.40816959738731384"
"369","-0.4785829484462738","-0.4785829484462738","-0.4785829484462738"
"370","-0.34918877482414246","-0.34918877482414246","-0.34918877482414246"
"371","-0.48583120107650757","-0.48583120107650757","-0.48583120107650757"
"372","-0.44078153371810913","-0.44078153371810913","-0.44078153371810913"
"373","-0.5702708959579468","-0.5702708959579468","-0.5702708959579468"
"374","-0.333707332611084","-0.333707332611084","-0.333707332611084"
"375","-0.3253714442253113","-0.3253714442253113","-0.3253714442253113"
"376","-0.45178306102752686","-0.45178306102752686","-0.45178306102752686"
"377","-0.4606688618659973","-0.4606688618659973","-0.4606688618659973"
"378","-0.4572928845882416","-0.4572928845882416","-0.4572928845882416"
"379","-0.48517972230911255","-0.48517972230911255","-0.48517972230911255"
"380","-0.5110025405883789","-0.5110025405883789","-0.5110025405883789"
"381","-0.5426273345947266","-0.5426273345947266","-0.5426273345947266"
"382","-0.3857894837856293","-0.3857894837856293","-0.3857894837856293"
"383","-0.531829833984375","-0.531829833984375","-0.531829833984375"
"384","-0.4365973174571991","-0.4365973174571991","-0.4365973174571991"
"385","-0.4898102879524231","-0.4898102879524231","-0.4898102879524231"
"386","-0.45797356963157654","-0.45797356963157654","-0.45797356963157654"
"387","-0.41591987013816833","-0.41591987013816833","-0.41591987013816833"
"388","-0.46421870589256287","-0.46421870589256287","-0.46421870589256287"
"389","-0.5447312593460083","-0.5447312593460083","-0.5447312593460083"
"390","-0.4265877604484558","-0.4265877604484558","-0.4265877604484558"
"391","-0.46258342266082764","-0.46258342266082764","-0.46258342266082764"
"392","-0.4496740698814392","-0.4496740698814392","-0.4496740698814392"
"393","-0.5468976497650146","-0.5468976497650146","-0.5468976497650146"
"394","-0.49710243940353394","-0.49710243940353394","-0.49710243940353394"
"395","-0.5230699777603149","-0.5230699777603149","-0.5230699777603149"
"396","-0.47022002935409546","-0.47022002935409546","-0.47022002935409546"
"397","-0.44837626814842224","-0.44837626814842224","-0.44837626814842224"
